epoch,loss,ADE,FDE
5,0.47352941673334553,0.4731948561966419,1.0093026343075668
10,0.46153078758641924,0.45835453293779316,0.9814760361305055
15,0.44952717771858663,0.4444834443357061,0.9418062230243402
20,0.4431756594235812,0.4285060366286951,0.9047365234178655
25,0.4388508047589678,0.4432038620333461,0.9446567991638884
30,0.4357969907106587,0.4421123893931508,0.9483547880369074
35,0.43014748410043735,0.43475994340637153,0.9149118902928689
40,0.42481945119098236,0.42662048081264775,0.9160873441135182
45,0.42081289435104935,0.4266233642859494,0.914256066872793
50,0.41465252059237695,0.42074705799493717,0.8955652714652174
55,0.4127457702147438,0.4262555625180111,0.8979129499372314
60,0.40570420826277803,0.42245898908004165,0.8994343974134501
65,0.3974429654552444,0.4339258852798273,0.9154820098596461
70,0.38971690522479613,0.43398288952953673,0.9064712843912489
75,0.38269899726411744,0.4250251827104127,0.90173811132417
80,0.3758649136676669,0.4314073896857307,0.9179118754287414
85,0.36807684031060445,0.4313230125233531,0.9156222752350218
90,0.35910856222932175,0.4362258820739739,0.9237366801456494
95,0.3505619508612878,0.4378725716515499,0.9270545614992871
100,0.34254417514004637,0.44281076373094147,0.9347383259959957
