epoch,loss,ADE,FDE,uncertainty
5,19074.13077187314,0.6762661325580933,1.1522353962940328,0.001548664104741286
10,18361.444494898733,0.6394466421183418,1.1074372438823477,0.0014511803240405724
15,17949.175591923748,0.6237987694933134,1.0707298639504348,0.0016495018971481306
20,17687.061486995048,0.6246257185935974,1.1014100732172236,0.0018612948595546186
25,17608.081131660365,0.6064923835151336,1.0534942137844423,0.00208639031591113
30,17413.74211860126,0.6120275467195931,1.087277767237495,0.0021972186801790753
35,17316.504479817908,0.6048370216260938,1.0728265235090957,0.0024302869138088734
40,17246.42157076271,0.599393918496721,1.0605087634395152,0.002725920324925991
45,17191.611884780366,0.5950902178445283,1.055025899651296,0.0026794661356903176
50,17212.830591137325,0.597197205091224,1.0771611101487104,0.002948985595310874
55,17131.486399686164,0.6016971085877979,1.0754741351394093,0.0028724673313691336
60,17199.75406141495,0.5880802684847046,1.043839953050894,0.0030885771355208228
65,17021.0265037787,0.5961604783201919,1.0768791533568327,0.0030837273759329142
70,17080.433310436307,0.5892406850176699,1.0630018030895907,0.0032168546499794022
75,17148.74229256843,0.5819020518046968,1.0314700289465049,0.0033724894391044097
80,17111.801895521377,0.5819222082110013,1.0354653631939608,0.0032968237612615615
85,17091.3318707388,0.5830797030645258,1.0525649635230794,0.003397633380475728
90,17142.697733556553,0.593262644199764,1.0744630535735804,0.003183318634846193
95,17128.574860247292,0.581291693799636,1.0401947202270523,0.003321347793783335
100,17100.176447409678,0.5916241988101426,1.0763781222350457,0.0032430653843809575
